QUESTION	QUESTION-ALIGNMENT	CHOICE 1	CHOICE 2	CHOICE 3	CHOICE 4	CORRECT CHOICE	RELEVANT TABLE	RELEVANT ROW	RELEVANT COL
Which country is located in the northern hemisphere?	"0,1"	Morocco	Kazakhstan	Chile	Egypt	2	regents-03	96	0
What hemisphere is Khazakstan located?	"0,1"	Eastern hemisphere	Western hemisphere	Northern hemisphere	Southern hemisphere	3	regents-03	96	2
What country is located in the northern hemisphere?	"0,1"	Latvia	Ghana	Ivory Coast	Jarvis Island (United States)	1	regents-03	97	0
Latvia is located in which hemisphere?	"0,1"	western hemisphere	equatorial region	southern hemisphere	northern hemisphere	4	regents-03	97	2
In what hemisphere is Liechtenstein located?	"0,1"	Equatorial	Northern	Southern	Eastern	2	regents-03	98	0
What hemisphere is Leichtenstein located in?	"0,1"	Eastern hemisphere	Northern Hemisphere	southern hemisphere	Equatorial region	2	regents-03	98	2
Which hemisphere is Lithuania in?	1	Northern hemisphere	Southern hemisphere	Northern Southern hemisphere	Southeastern hemisphere	1	regents-03	99	0
In which hemisphere would you locate Lithuania?	0	Northern	Southern	Equatorial	Western	1	regents-03	99	2
What hemisphere is Luxembourg located?	1	southern hemisphere	equatorial hemisphere	northern hemisphere	None Of The Above	3	regents-03	100	2
What country is located in the northern hemisphere?	"0,1"	Georgia	Republic of Macedonia	Greece	Mauritius	2	regents-03	101	0
Republic of Macedonia is located in which hemisphere?	"0,1"	equatorial region	western hemisphere	southern hemisphere	northern hemisphere	4	regents-03	101	2
Malta is located in which hemisphere?	"0,1"	western hemisphere	northern hemisphere	southern hemisphere	equatorial region	2	regents-03	102	2
In which hemisphere is Moldova located?	"0,1"	western	southern	northern	equatorial	3	regents-03	103	0
The coutry of Moldova is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	1	regents-03	103	2
Which hemisphere is the country Monaco located in?	"0,1"	northern hemisphere	southern hemisphere	eastern hemisphere	western hemisphere	1	regents-03	104	0
What hemisphere is Monaco located in?	"0,1"	Turkey	equatorial	Southern	Northern	4	regents-03	104	2
Which country is located in the northern hemisphere?	"0,1"	Montenegro	Rwanda	Paraguay	Comoros	1	regents-03	105	0
What hemisphere is Montenegro located in?	"0,1"	Northern hemisphere	Southern hemisphere	Western Hemisphere	Eastern Hemisphere	1	regents-03	105	2
"If you were looking for the Netherlands on the map, where would you see them?"	"0,1"	"The northwest part of the earth, as seen on a projection map"	Earth's southern hemisphere	The extreme northern part of the Earth	Earth's northern hemisphere	4	regents-03	106	0
What hemisphere is the Netherlands located?	"0,1"	The Bahamas	Northern	Southern	Eritrea	2	regents-03	106	2
Where is Norway located?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	western hemisphere	1	regents-03	107	0
Which hemisphere is the country Norway located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	1	regents-03	107	2
Which country can be found in the northern hemisphere?	1	Poland	Chad	Niger	American Samao	1	regents-03	108	0
The country of Poland is located in the _______.	"0,1"	northern hemisphere	south pole	equatorial region	southern hemisphere	1	regents-03	108	2
What country is located in the northern hemisphere?	"0,1"	Zimbabwe	Republic of the Congo	Portugal	Heard Island and McDonald Islands (Australia)	3	regents-03	109	0
Portugal is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	western hemisphere	equatorial region	2	regents-03	109	2
What country is located in the northern hemisphere?	"0,1"	Egypt	Namibia	Romania	Benin	3	regents-03	110	0
Romania is located in which hemisphere?	"0,1"	western hemisphere	equatorial region	southern hemisphere	northern hemisphere	4	regents-03	110	2
Russia is located in which hemisphere?	"0,1"	western hemisphere	northern hemisphere	southern hemisphere	equatorial region	2	regents-03	111	2
San Marino is located in which hemisphere?	"0,1"	western hemisphere	southern hemisphere	northern hemisphere	equatorial region	3	regents-03	112	2
Which country is located in the northern hemisphere?	"0,1"	Serbia	Venezuela	Comoros	Fiji	1	regents-03	113	0
Serbia is located in which hemisphere?	"0,1"	southern hemisphere	equatorial region	northern hemisphere	western hemiphere	3	regents-03	113	2
Which hemisphere is the country Slovakia located in?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	none of the above	2	regents-03	114	0
Slovakia is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	western hemiphere	1	regents-03	114	2
"Based on the above chart, which country is the second listed which is located in the northern hemisphere?"	"0,1"	Territory of New Caledonia and Dependencies (France)	Turkey	Namibia	Slovenia	4	regents-03	115	0
Slovenia is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	eastern hemisphere	2	regents-03	115	2
Spain is located in which region?	0	northern hemisphere	southern hemisphere	eastern hemisphere	western hemisphere	1	regents-03	116	2
Which country is located in the northern hemisphere?	"0,1"	Ecuador	Sweden	Tuvalu	Namibia	2	regents-03	117	0
Sweden is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	eastern hemisphere	1	regents-03	117	2
In which hemisphere is Switzerland located?	"0,1"	Southern Hemisphere	Northern Hemisphere	Lower Hemisphere	Eastern Hemisphere	2	regents-03	118	2
What country is located in the northern hemisphere?	"0,1"	Turkey	Brazil	Morocco	Vanuatu	1	regents-03	119	0
Turkey is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	western hemisphere	equatorial region	2	regents-03	119	2
Which country is located in the northern hemisphere?	"0,1"	Morocco	Ukraine	Tuvalu	Antarctica	2	regents-03	120	0
The Ukraine is located in which region?	0	northern hemisphere	southern hemisphere	western hemisphere	equatorial region	1	regents-03	120	2
This country is located in the northern hemisphere.	"0,1"	United Kingdom	Botswana	Bolivia	Solomon Islands	1	regents-03	121	0
The United Kingdom is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	1	regents-03	121	2
Vatican City is located in what region?	0	southern hemisphere	northern hemisphere	eastern hemisphere	equatorial region	2	regents-03	122	2
What Hemisphere is Bermuda located in?	0	Southern	equatorial	Northern	Kuwait	3	regents-03	123	0
Bermuda (UK) is located in which hemisphere?	"0,1"	eastern hemisphere	southern hemisphere	northern hemisphere	equatorial region	3	regents-03	123	2
Which country is located in the northern hemisphere?	"0,1"	Canada	Seychelles	Botswana	Bolivia	1	regents-03	124	0
Canada is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	western hemisphere	equatorial region	2	regents-03	124	2
What hemispheric region is Greenland (Denmark) in?	0	Eastern hemisphere	Equatorial region	Northern hemisphere	Southern hemisphere	3	regents-03	125	2
Mexico is located in what hemisphere?	0	northern	western	southern	eastern	1	regents-03	126	0
Mexico is located in which hemisphere?	"0,1"	eastern hemisphere	equatorial region	northern hemisphere	southern hemisphere	3	regents-03	126	2
What hemisphere is Saint Pierre and Miquelon (France) located in?	"0,1"	Southern	Eastern	Northern	Western	3	regents-03	127	2
A country located in the northern hemisphere is	"0,1"	Senegal	French Guiana	Falkland Islands	United States	4	regents-03	128	0
Which hemisphere is the country United States located in?	"0,1"	equatorial region	southern hemisphere	northern hemisphere	none of the above	3	regents-03	128	2
All of the following countries are located in the northern hemisphere except which one?	1	Anguilla (UK)	Serbia	Puerto Rico (US)	Rwanda	4	regents-03	129	0
Where is Anguilla (UK) located?	"0,1"	Northern hemisphere	Eastern Hemisphere	Southern hemisphere	Western hemisphere	1	regents-03	129	2
Antigua and Barbuda ARE LOCATED IN WHAT HEMISPHERE	"0,1"	northern	southern	equatorial region	WESTERN	1	regents-03	130	0
Antigua and Barbuda is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	western hemiphere	1	regents-03	130	2
Aruba is located in what hemisphere?	"0,1"	Northern	Southern	Canada	Mali	1	regents-03	131	0
In which hemisphere is Aruba located?	"0,1"	Equatorial	Western	Northern	Southern	3	regents-03	131	2
The Bahamass is located in the _______?	"0,1"	equatorial region	northern hemisphere	southern hemisphere	both northern and southern hemispheres	2	regents-03	132	0
What hemisphere is The Bahamas located in?	0	Southern Hemisphere	Northen Hemisphers	Eastern Hemisphere	Western Hemisphere	2	regents-03	132	2
Which of the following countries is located in the northern hemisphere?	"0,1"	Democratic Republic of the Congo	Christmas Island (Australia)	Chile	Barbados	4	regents-03	133	0
Which hemisphere is the country Barbados located in?	"0,1"	southern hemisphere	equatorial region	northern hemisphere	none of the above	3	regents-03	133	2
What country is located in the northern hemisphere?	"0,1"	Maldives	Bonaire (Netherlands)	Seychelles	Zambia	2	regents-03	134	0
Which hemisphere is the country Bonaire (Netherlands) located in?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	none of the above	2	regents-03	134	2
What country is located in the northern hemisphere?	"0,1"	British Virgin Islands (UK)	Comoros	Chad	Vanuatu	1	regents-03	135	0
British Virgin Islands (UK) is located in which hemisphere?	"0,1"	southern hemisphere	equatorial region	western hemisphere	northern hemisphere	4	regents-03	135	2
Which of these countries is located in the northern hemisphere?	"0,1"	Cayman Islands (UK)	Guinea	Gabon	Angola	1	regents-03	136	0
A search for the Cayman Islands would find them in _______ hemisphere	"0,1"	Equatorial Region	Northern	Southern	Arctic Circle	2	regents-03	136	2
What country is located in the northern hemisphere?	"0,1"	Swaziland	Cuba	South Orkney Islands (Antarctic Treaty signatories)	Mauritania	2	regents-03	137	0
What hemisphere is Cuba in?	0	Northern hemisphere	Southern Hemisphere	Austria	Equatorial Region	1	regents-03	137	2
What hemisphere is Curaco located in?	"0,1"	Southern	Northern	Eastern	Western	2	regents-03	138	2
Which of these countries is located in the northern hemisphere?	"0,1"	French Guiana	Rwanda	Dominica	South Africa	3	regents-03	139	0
Dominica can be found in the	0	Equatorial Region	Northern Hemisphere	Southern Hemisphere	Moon	2	regents-03	139	2
In what hemisphere is the Dominican Republic located?	"0,1"	Northern	Southern	Equatorial	Eastern	1	regents-03	140	0
Which hemisphere is Dominican Republic in?	0	Eastern hemisphere	Western hemisphere	southern hemisphere	Northern hemisphere	4	regents-03	140	2
What country is located in the northern hemisphere?	"0,1"	Grenada	Namibia	Christmas Island (Australia)	Kenya	1	regents-03	141	0
In which hemisphere is Grenada located?	"0,1"	Northern	Southern	Equatorial	Western	1	regents-03	141	2
What hemisphere is Guadelupe (france) located in?	0	Western	Southern	Northern	Eastern	3	regents-03	142	0
Guadeloupe (France) is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	eastern hemisphere	1	regents-03	142	2
Name a five letter country from the chart above that is located in the northern hemisphere.	"0,1"	Malaysia	Haiti	Germany	Bolivia	2	regents-03	143	0
In which hemisphere is Haiti located?	"0,1"	southern	northern	eastern	western	2	regents-03	143	2
Jamaica is located in what region?	0	southern hemisphere	northern hemisphere	western hemisphere	equatorial region	2	regents-03	144	2
Martinique (France) is located in which hemisphere?	0	southern hemisphere	northern hemisphere	equatorial region	north pole	2	regents-03	145	2
Montserrat (UK) is located in which hemisphere?	"0,1"	eastern hemisphere	northern hemisphere	southern hemisphere	equatorial region	2	regents-03	146	2
Navassa Island is located in what hemisphere?	0	northern	southern	eastern	western	1	regents-03	147	0
Where is Navassa Islands (US) located in?	"0,1"	Northern hemisphere	Southern hemisphere	Western Hemisphere	Eastern Hemisphere	1	regents-03	147	2
What country is located in the northern hemisphere?	"0,1"	Puerto Rico (US)	British Indian Ocean Territory (United Kingdom)	Chile	South Africa	1	regents-03	148	0
Puerto Rico (US) is located in which hemisphere?	"0,1"	eastern hemisphere	equatorial region	southern hemisphere	northern hemisphere	4	regents-03	148	2
Saba (Netherlands) is located in which hemisphere?	"0,1"	eastern hemisphere	equatorial region	southern hemisphere	northern hemisphere	4	regents-03	149	2
This country is located in the northern hemisphere:	"0,1"	Saint BarthÌ_å©lemy	Tokelau	Mozambique	Tunisia	1	regents-03	150	0
What hemisphere is Saint BarthÌ_å©lemy (France) located in?	"0,1"	Northern	equatorial	Southern	Burma	1	regents-03	150	2
What country is located in the northern hemisphere?	"0,1"	Saint Kitts and Nevis	Niue (New Zealand)	Somalia	Peru	1	regents-03	151	0
Saint Kitts and Nevis is located in what region?	0	southern hemisphere	equatorial region	northern hemisphere	western hemisphere	3	regents-03	151	2
What hemisphere is Saint Lucia located in?	"0,1"	Northern	Southern	Mali	Togo	1	regents-03	152	2
Where is Saint Martin (France) located?	"0,1"	Northern hemisphere	Eastern quadrilateral	Equatorial zone	Southern hemisphere	1	regents-03	153	2
What country is located in the northern hemisphere?	"0,1"	New Zealand	Zambia	Saint Vincent and the Grenadines	Sudan	3	regents-03	154	0
What hemisphere is Saint Vincent and the Grenadines located in?	"0,1"	equatorial	Northern	Southern	Liberia	2	regents-03	154	2
Which of these countries is located in the northern hemisphere?	"0,1"	Chile	East Timor	Sint Eustatius	Namibia	3	regents-03	155	0
